ExperimentType,VariedParam,VariedValue,b,theta,delta,gamma,MeanAlpha_s0,MeanAlpha_s1,PercentDiff
bLoop,b,5,5,1.68253,0.940568,1.24105,2.23844,2.4093,7.63321
bLoop,b,8,8,1.68253,0.940568,1.24105,2.23874,2.38433,6.50336
bLoop,b,11,11,1.68253,0.940568,1.24105,2.24429,2.34724,4.58741
bLoop,b,14,14,1.68253,0.940568,1.24105,2.24157,2.33778,4.29216
bLoop,b,17,17,1.68253,0.940568,1.24105,2.25099,2.33188,3.59355
bLoop,b,20,20,1.68253,0.940568,1.24105,2.24457,2.32371,3.52595
bLoop,b,5,5,1.21006,0.321742,1.40173,2.39289,2.46054,2.82702
bLoop,b,8,8,1.21006,0.321742,1.40173,2.40111,2.44347,1.76441
bLoop,b,11,11,1.21006,0.321742,1.40173,2.4031,2.43647,1.38852
bLoop,b,14,14,1.21006,0.321742,1.40173,2.4052,2.43556,1.26246
bLoop,b,17,17,1.21006,0.321742,1.40173,2.40816,2.43083,0.941286
bLoop,b,20,20,1.21006,0.321742,1.40173,2.40385,2.42272,0.785039
bLoop,b,5,5,1.34009,0.960049,2.2262,3.22693,3.32188,2.94236
bLoop,b,8,8,1.34009,0.960049,2.2262,3.23032,3.32364,2.88895
bLoop,b,11,11,1.34009,0.960049,2.2262,3.23423,3.32057,2.66961
bLoop,b,14,14,1.34009,0.960049,2.2262,3.23131,3.31413,2.56283
bLoop,b,17,17,1.34009,0.960049,2.2262,3.23192,3.30804,2.3551
bLoop,b,5,5,1.2389,0.307687,1.17129,2.17101,2.25933,4.068
bLoop,b,20,20,1.34009,0.960049,2.2262,3.2258,3.30572,2.47753
bLoop,b,8,8,1.2389,0.307687,1.17129,2.168,2.22538,2.64657
bLoop,b,11,11,1.2389,0.307687,1.17129,2.17585,2.2105,1.59282
bLoop,b,14,14,1.2389,0.307687,1.17129,2.17273,2.20341,1.41189
bLoop,b,17,17,1.2389,0.307687,1.17129,2.168,2.20616,1.76012
bLoop,b,5,5,0.956349,0.779666,0.948257,1.94698,2.10412,8.0713
bLoop,b,5,5,0.554039,0.851909,2.46537,0,0,0
bLoop,b,20,20,1.2389,0.307687,1.17129,2.17784,2.19657,0.860193
bLoop,b,8,8,0.956349,0.779666,0.948257,1.94869,2.10947,8.25053
bLoop,b,8,8,0.554039,0.851909,2.46537,0,0,0
bLoop,b,11,11,0.956349,0.779666,0.948257,1.95597,2.09831,7.2777
bLoop,b,5,5,1.17902,0.342889,0.785706,1.78927,1.91495,7.02399
bLoop,b,14,14,0.956349,0.779666,0.948257,1.94915,2.08925,7.18792
bLoop,b,11,11,0.554039,0.851909,2.46537,3.46479,0,-100
bLoop,b,17,17,0.956349,0.779666,0.948257,1.9519,2.09453,7.30719
bLoop,b,8,8,1.17902,0.342889,0.785706,1.79307,1.86687,4.11593
bLoop,b,14,14,0.554039,0.851909,2.46537,3.46202,0,-100
bLoop,b,20,20,0.956349,0.779666,0.948257,1.9434,2.08386,7.22748
bLoop,b,5,5,0.810668,0.292947,1.96887,2.97293,3.0078,1.17292
bLoop,b,5,5,0.585861,0.849909,2.38995,0,0,0
bLoop,b,11,11,1.17902,0.342889,0.785706,1.79077,1.85962,3.84471
bLoop,b,8,8,0.810668,0.292947,1.96887,2.96883,2.9973,0.959073
bLoop,b,14,14,1.17902,0.342889,0.785706,1.7932,1.84427,2.84778
bLoop,b,5,5,0.760608,0.801311,1.50412,2.50479,2.62327,4.73001
bLoop,b,17,17,0.554039,0.851909,2.46537,3.4667,3.59895,3.81485
bLoop,b,8,8,0.585861,0.849909,2.38995,3.39337,3.46386,2.07706
bLoop,b,11,11,0.810668,0.292947,1.96887,2.96562,3.00162,1.21377
bLoop,b,20,20,0.554039,0.851909,2.46537,3.46676,3.61578,4.29835
bLoop,b,5,5,0.521628,0.647056,1.20687,2.20528,2.33789,6.01311
bLoop,b,14,14,0.810668,0.292947,1.96887,2.95921,2.9975,1.29413
bLoop,b,17,17,1.17902,0.342889,0.785706,1.78288,1.83391,2.86224
bLoop,b,8,8,0.760608,0.801311,1.50412,2.50888,2.65232,5.71715
bLoop,b,11,11,0.585861,0.849909,2.38995,3.39092,3.51835,3.75782
bLoop,b,5,5,0.597232,0.418748,1.09284,2.09105,2.17737,4.12822
bLoop,b,20,20,1.17902,0.342889,0.785706,1.78809,1.84203,3.0164
bLoop,b,14,14,0.585861,0.849909,2.38995,3.38179,3.53029,4.39118
bLoop,b,17,17,0.810668,0.292947,1.96887,2.97823,2.99858,0.683481
bLoop,b,8,8,0.521628,0.647056,1.20687,2.20213,2.35352,6.87455
bLoop,b,5,5,1.90809,0.866094,0.837288,1.83776,2.0855,13.4806
bLoop,b,11,11,0.760608,0.801311,1.50412,2.49969,2.65399,6.1729
bLoop,b,20,20,0.810668,0.292947,1.96887,2.9601,2.98106,0.708121
bLoop,b,8,8,0.597232,0.418748,1.09284,2.09677,2.19253,4.56698
bLoop,b,14,14,0.760608,0.801311,1.50412,2.50808,2.65853,5.99852
bLoop,b,17,17,0.585861,0.849909,2.38995,3.38351,3.54502,4.77338
bLoop,b,11,11,0.521628,0.647056,1.20687,2.20755,2.36316,7.04863
bLoop,b,5,5,1.74412,0.615324,2.43438,3.43632,3.51122,2.17962
bLoop,b,20,20,0.585861,0.849909,2.38995,3.3968,3.55366,4.61763
bLoop,b,8,8,1.90809,0.866094,0.837288,1.84202,2.00042,8.59916
bLoop,b,14,14,0.521628,0.647056,1.20687,2.21344,2.36843,7.00248
bLoop,b,11,11,0.597232,0.418748,1.09284,2.09626,2.19469,4.69556
bLoop,b,5,5,1.05926,0.339418,1.74526,2.75009,2.79176,1.51517
bLoop,b,17,17,0.760608,0.801311,1.50412,2.50097,2.65893,6.31604
bLoop,b,8,8,1.74412,0.615324,2.43438,3.42901,3.48429,1.61227
bLoop,b,14,14,0.597232,0.418748,1.09284,2.09491,2.18342,4.225
bLoop,b,11,11,1.90809,0.866094,0.837288,1.84454,1.95469,5.97209
bLoop,b,20,20,0.760608,0.801311,1.50412,2.49523,2.65574,6.43272
bLoop,b,5,5,1.5522,0.885977,2.1666,3.15853,3.26551,3.38683
bLoop,b,17,17,0.521628,0.647056,1.20687,2.21518,2.37896,7.39349
bLoop,b,8,8,1.05926,0.339418,1.74526,2.74419,2.7827,1.40309
bLoop,b,14,14,1.90809,0.866094,0.837288,1.82963,1.93403,5.70567
bLoop,b,5,5,1.78098,0.768382,0.895247,1.89414,2.11137,11.4688
bLoop,b,11,11,1.74412,0.615324,2.43438,3.43826,3.46701,0.836057
bLoop,b,20,20,0.521628,0.647056,1.20687,2.20672,2.37584,7.66342
bLoop,b,17,17,0.597232,0.418748,1.09284,2.09379,2.18018,4.12615
bLoop,b,8,8,1.5522,0.885977,2.1666,3.16608,3.24683,2.5504
bLoop,b,5,5,0.925601,0.726452,1.96811,2.96632,3.06673,3.38496
bLoop,b,14,14,1.74412,0.615324,2.43438,3.42593,3.45873,0.957451
bLoop,b,11,11,1.05926,0.339418,1.74526,2.74873,2.78365,1.27033
bLoop,b,20,20,0.597232,0.418748,1.09284,2.10033,2.18231,3.90331
bLoop,b,17,17,1.90809,0.866094,0.837288,1.84055,1.93001,4.86042
bLoop,b,5,5,0.744063,0.451361,2.29226,3.29735,3.34396,1.41366
bLoop,b,8,8,1.78098,0.768382,0.895247,1.90049,2.03802,7.23681
bLoop,b,14,14,1.05926,0.339418,1.74526,2.741,2.77291,1.16414
bLoop,b,11,11,1.5522,0.885977,2.1666,3.1635,3.24849,2.68663
bLoop,b,5,5,0.902083,0.622329,1.8053,2.81779,2.89167,2.62193
bLoop,b,20,20,1.90809,0.866094,0.837288,1.84106,1.91799,4.17889
bLoop,b,8,8,0.925601,0.726452,1.96811,2.97328,3.0581,2.85277
bLoop,b,17,17,1.74412,0.615324,2.43438,3.42624,3.45336,0.791418
bLoop,b,14,14,1.5522,0.885977,2.1666,3.16599,3.23638,2.22342
bLoop,b,11,11,1.78098,0.768382,0.895247,1.8979,2.0065,5.72189
bLoop,b,5,5,1.54059,0.658585,0.677615,1.6814,1.90105,13.0638
bLoop,b,8,8,0.744063,0.451361,2.29226,3.29785,3.34397,1.39867
bLoop,b,17,17,1.05926,0.339418,1.74526,2.74683,2.76675,0.725125
bLoop,b,20,20,1.74412,0.615324,2.43438,3.44008,3.44625,0.179353
bLoop,b,14,14,1.78098,0.768382,0.895247,1.8941,1.98889,5.00465
bLoop,b,11,11,0.925601,0.726452,1.96811,2.97516,3.05701,2.75132
bLoop,b,5,5,1.37805,0.60342,2.03653,3.04023,3.12193,2.68745
bLoop,b,8,8,0.902083,0.622329,1.8053,2.80694,2.89415,3.10665
bLoop,b,20,20,1.05926,0.339418,1.74526,2.74858,2.76362,0.547243
bLoop,b,17,17,1.5522,0.885977,2.1666,3.16432,3.23172,2.12998
bLoop,b,5,5,0.788708,0.933963,1.09487,2.10073,2.24913,7.06432
bLoop,b,11,11,0.744063,0.451361,2.29226,3.28878,3.34504,1.71073
bLoop,b,14,14,0.925601,0.726452,1.96811,2.97278,3.05484,2.7604
bLoop,b,8,8,1.54059,0.658585,0.677615,1.67792,1.82316,8.6557
bLoop,b,5,5,0.555637,0.287043,0.737966,1.74378,1.82171,4.46892
bLoop,b,17,17,1.78098,0.768382,0.895247,1.89374,1.97802,4.45036
bLoop,b,20,20,1.5522,0.885977,2.1666,3.1607,3.22981,2.18654
bLoop,b,11,11,0.902083,0.622329,1.8053,2.81265,2.89537,2.94091
bLoop,b,14,14,0.744063,0.451361,2.29226,3.28907,3.34022,1.55526
bLoop,b,5,5,1.0297,0.568482,1.6649,2.67283,2.75229,2.97308
bLoop,b,8,8,1.37805,0.60342,2.03653,3.04341,3.103,1.95814
bLoop,b,11,11,1.54059,0.658585,0.677615,1.68599,1.79277,6.33374
bLoop,b,17,17,0.925601,0.726452,1.96811,2.97681,3.05718,2.6996
bLoop,b,20,20,1.78098,0.768382,0.895247,1.9009,1.97089,3.68234
bLoop,b,5,5,0.973233,0.421917,0.75997,1.75326,1.8897,7.78243
bLoop,b,14,14,0.902083,0.622329,1.8053,2.79989,2.87104,2.54144
bLoop,b,8,8,0.788708,0.933963,1.09487,2.09752,2.26769,8.11317
bLoop,b,8,8,0.555637,0.287043,0.737966,1.73139,1.82005,5.12083
bLoop,b,5,5,1.92963,0.254998,1.70639,2.70068,2.77665,2.81308
bLoop,b,11,11,1.37805,0.60342,2.03653,3.03092,3.09295,2.04671
bLoop,b,14,14,1.54059,0.658585,0.677615,1.67962,1.76876,5.30724
bLoop,b,17,17,0.744063,0.451361,2.29226,3.29378,3.34093,1.43141
bLoop,b,20,20,0.925601,0.726452,1.96811,2.9708,3.05863,2.95663
bLoop,b,8,8,1.0297,0.568482,1.6649,2.66686,2.73769,2.65605
bLoop,b,5,5,1.43433,0.67143,0.985643,1.98223,2.15473,8.7026
bLoop,b,11,11,0.788708,0.933963,1.09487,2.09652,2.28684,9.07804
bLoop,b,14,14,1.37805,0.60342,2.03653,3.03624,3.08678,1.6646
bLoop,b,17,17,0.902083,0.622329,1.8053,2.80353,2.88087,2.75887
bLoop,b,8,8,0.973233,0.421917,0.75997,1.75694,1.85179,5.39888
bLoop,b,5,5,1.49803,0.300584,1.74425,2.73946,2.81596,2.79272
bLoop,b,20,20,0.744063,0.451361,2.29226,3.28682,3.33652,1.51198
bLoop,b,11,11,0.555637,0.287043,0.737966,1.72715,1.80416,4.45853
bLoop,b,14,14,0.788708,0.933963,1.09487,2.08869,2.29417,9.83766
bLoop,b,17,17,1.54059,0.658585,0.677615,1.68684,1.76863,4.84877
bLoop,b,8,8,1.92963,0.254998,1.70639,2.71904,2.75001,1.1388
bLoop,b,5,5,1.03443,0.712611,1.03181,2.0346,2.17054,6.68172
bLoop,b,11,11,1.0297,0.568482,1.6649,2.66071,2.73339,2.73184
bLoop,b,20,20,0.902083,0.622329,1.8053,2.81036,2.87771,2.39648
bLoop,b,14,14,0.555637,0.287043,0.737966,1.73712,1.81026,4.21048
bLoop,b,8,8,1.43433,0.67143,0.985643,1.97937,2.11567,6.88607
bLoop,b,17,17,1.37805,0.60342,2.03653,3.03289,3.08006,1.55499
bLoop,b,5,5,1.6838,0.982038,1.93071,2.92653,3.0427,3.96988
bLoop,b,11,11,0.973233,0.421917,0.75997,1.76765,1.85493,4.93766
bLoop,b,20,20,1.54059,0.658585,0.677615,1.68734,1.76374,4.5279
bLoop,b,14,14,1.0297,0.568482,1.6649,2.67127,2.731,2.23579
bLoop,b,5,5,0.79477,0.663087,1.11785,2.11538,2.25276,6.49413
bLoop,b,8,8,1.49803,0.300584,1.74425,2.74243,2.78589,1.5849
bLoop,b,11,11,1.92963,0.254998,1.70639,2.70412,2.73405,1.10664
bLoop,b,17,17,0.788708,0.933963,1.09487,2.0952,2.2943,9.5025
bLoop,b,14,14,0.973233,0.421917,0.75997,1.76848,1.83669,3.85675
bLoop,b,5,5,1.47283,0.340982,2.05991,3.06307,3.12367,1.97827
bLoop,b,20,20,1.37805,0.60342,2.03653,3.0401,3.07592,1.1784
bLoop,b,8,8,1.03443,0.712611,1.03181,2.0295,2.16589,6.72024
bLoop,b,11,11,1.43433,0.67143,0.985643,1.99813,2.08835,4.51519
bLoop,b,17,17,0.555637,0.287043,0.737966,1.74109,1.80408,3.61737
bLoop,b,5,5,0.502424,0.25433,1.53683,2.53197,2.58614,2.13925
bLoop,b,14,14,1.92963,0.254998,1.70639,2.70611,2.71538,0.34253
bLoop,b,8,8,1.6838,0.982038,1.93071,2.92886,3.03355,3.5745
bLoop,b,11,11,1.49803,0.300584,1.74425,2.75087,2.76367,0.465488
bLoop,b,20,20,0.788708,0.933963,1.09487,2.09537,2.29455,9.5058
bLoop,b,5,5,1.7146,0.264577,1.29712,2.30236,2.38472,3.57712
bLoop,b,17,17,1.0297,0.568482,1.6649,2.66271,2.73305,2.64139
bLoop,b,14,14,1.43433,0.67143,0.985643,1.98819,2.08596,4.91737
bLoop,b,8,8,0.79477,0.663087,1.11785,2.12133,2.25152,6.13697
bLoop,b,11,11,1.03443,0.712611,1.03181,2.0319,2.15242,5.93131
bLoop,b,5,5,1.27593,0.295289,1.91684,2.92144,2.96763,1.58093
bLoop,b,20,20,0.555637,0.287043,0.737966,1.74043,1.80916,3.94947
bLoop,b,17,17,0.973233,0.421917,0.75997,1.76833,1.84101,4.1103
bLoop,b,14,14,1.49803,0.300584,1.74425,2.75031,2.76024,0.361083
bLoop,b,8,8,1.47283,0.340982,2.05991,3.06336,3.11008,1.52507
bLoop,b,5,5,0.711313,0.550381,1.93056,2.93508,3.00197,2.27881
bLoop,b,11,11,1.6838,0.982038,1.93071,2.9372,3.00335,2.25187
bLoop,b,17,17,1.92963,0.254998,1.70639,2.70684,2.72758,0.766046
bLoop,b,20,20,1.0297,0.568482,1.6649,2.67384,2.71621,1.58493
bLoop,b,8,8,0.502424,0.25433,1.53683,2.54943,2.58097,1.23711
bLoop,b,5,5,0.745824,0.635275,0.941904,1.93838,2.07936,7.27289
bLoop,b,5,5,0.602976,0.933296,2.1029,0,0,0
bLoop,b,14,14,1.03443,0.712611,1.03181,2.03341,2.15279,5.87084
bLoop,b,11,11,0.79477,0.663087,1.11785,2.12728,2.24837,5.69229
bLoop,b,17,17,1.43433,0.67143,0.985643,1.99051,2.06827,3.90645
bLoop,b,8,8,1.7146,0.264577,1.29712,2.29652,2.34761,2.22489
bLoop,b,20,20,0.973233,0.421917,0.75997,1.76183,1.83491,4.14797
bLoop,b,5,5,1.32066,0.94883,1.70162,2.70855,2.82085,4.14621
bLoop,b,14,14,1.6838,0.982038,1.93071,2.93293,3.007,2.52544
bLoop,b,11,11,1.47283,0.340982,2.05991,3.05921,3.08517,0.848529
bLoop,b,8,8,1.27593,0.295289,1.91684,2.92024,2.952,1.08731
bLoop,b,20,20,1.92963,0.254998,1.70639,2.71499,2.71661,0.0596223
bLoop,b,17,17,1.49803,0.300584,1.74425,2.75505,2.76168,0.240953
bLoop,b,5,5,1.08624,0.40445,2.36436,3.37236,3.41572,1.28562
bLoop,b,11,11,0.502424,0.25433,1.53683,2.54163,2.57837,1.44541
bLoop,b,14,14,0.79477,0.663087,1.11785,2.11053,2.24683,6.45848
bLoop,b,5,5,1.3398,0.339042,0.784833,1.79309,1.92133,7.15174
bLoop,b,8,8,0.711313,0.550381,1.93056,2.93009,3.00704,2.62612
bLoop,b,20,20,1.43433,0.67143,0.985643,1.99058,2.06547,3.76252
bLoop,b,17,17,1.03443,0.712611,1.03181,2.02676,2.1529,6.22338
bLoop,b,11,11,1.7146,0.264577,1.29712,2.30515,2.32865,1.01929
bLoop,b,14,14,1.47283,0.340982,2.05991,3.04731,3.07612,0.945354
bLoop,b,8,8,0.745824,0.635275,0.941904,1.95084,2.0811,6.67714
bLoop,b,5,5,1.59747,0.765164,0.666225,1.66981,1.8948,13.474
bLoop,b,8,8,0.602976,0.933296,2.1029,3.10315,0,-100
bLoop,b,20,20,1.49803,0.300584,1.74425,2.74666,2.75756,0.396746
bLoop,b,11,11,1.27593,0.295289,1.91684,2.9117,2.94741,1.22619
bLoop,b,14,14,0.502424,0.25433,1.53683,2.54889,2.57676,1.0932
bLoop,b,17,17,1.6838,0.982038,1.93071,2.93531,3.00493,2.37183
bLoop,b,5,5,1.0983,0.85547,2.16727,3.17194,3.25386,2.58244
bLoop,b,8,8,1.32066,0.94883,1.70162,2.70469,2.81533,4.09098
bLoop,b,11,11,0.711313,0.550381,1.93056,2.93559,3.01981,2.86913
bLoop,b,14,14,1.7146,0.264577,1.29712,2.29981,2.31341,0.591538
bLoop,b,20,20,1.03443,0.712611,1.03181,2.03591,2.14648,5.43072
bLoop,b,5,5,1.79918,0.430336,1.55332,2.55562,2.67478,4.66284
bLoop,b,17,17,0.79477,0.663087,1.11785,2.1169,2.24039,5.83376
bLoop,b,8,8,1.08624,0.40445,2.36436,3.37364,3.41063,1.09645
bLoop,b,11,11,0.745824,0.635275,0.941904,1.94213,2.07367,6.77298
bLoop,b,14,14,1.27593,0.295289,1.91684,2.91184,2.93922,0.940406
bLoop,b,5,5,1.92567,0.389307,2.03219,3.04017,3.11983,2.62012
bLoop,b,17,17,1.47283,0.340982,2.05991,3.05778,3.06989,0.395868
bLoop,b,8,8,1.3398,0.339042,0.784833,1.78588,1.88183,5.37253
bLoop,b,20,20,1.6838,0.982038,1.93071,2.93135,3.00126,2.38484
bLoop,b,11,11,0.602976,0.933296,2.1029,3.10417,3.21133,3.45241
bLoop,b,14,14,0.711313,0.550381,1.93056,2.93212,3.01465,2.81458
bLoop,b,5,5,1.93593,0.740945,1.12399,2.12313,2.32832,9.66464
bLoop,b,17,17,0.502424,0.25433,1.53683,2.56193,2.57215,0.398941
bLoop,b,8,8,1.59747,0.765164,0.666225,1.66781,1.82495,9.42183
bLoop,b,11,11,1.32066,0.94883,1.70162,2.70378,2.8146,4.09875
bLoop,b,20,20,0.79477,0.663087,1.11785,2.12284,2.23088,5.0896
bLoop,b,14,14,0.745824,0.635275,0.941904,1.94816,2.07739,6.6335
bLoop,b,5,5,1.95115,0.36311,2.10688,3.10945,3.17507,2.11021
bLoop,b,17,17,1.7146,0.264577,1.29712,2.29408,2.31082,0.729628
bLoop,b,8,8,1.0983,0.85547,2.16727,3.16986,3.26809,3.09871
bLoop,b,11,11,1.08624,0.40445,2.36436,3.37098,3.37825,0.215867
bLoop,b,20,20,1.47283,0.340982,2.05991,3.05731,3.06607,0.286515
bLoop,b,14,14,0.602976,0.933296,2.1029,3.09243,3.2537,5.21513
bLoop,b,5,5,1.8241,0.637493,1.47393,2.47199,2.61821,5.91507
bLoop,b,17,17,1.27593,0.295289,1.91684,2.9107,2.92939,0.642071
bLoop,b,8,8,1.79918,0.430336,1.55332,2.55493,2.62655,2.80331
bLoop,b,11,11,1.3398,0.339042,0.784833,1.78778,1.84911,3.43027
bLoop,b,20,20,0.502424,0.25433,1.53683,2.5386,2.56522,1.04843
bLoop,b,14,14,1.32066,0.94883,1.70162,2.70955,2.80601,3.56009
bLoop,b,5,5,1.95932,0.864511,1.36117,2.35816,2.52345,7.00963
bLoop,b,17,17,0.711313,0.550381,1.93056,2.93494,3.00295,2.31733
bLoop,b,8,8,1.92567,0.389307,2.03219,3.03153,3.08849,1.87886
bLoop,b,11,11,1.59747,0.765164,0.666225,1.66674,1.7933,7.59298
bLoop,b,20,20,1.7146,0.264577,1.29712,2.30705,2.31386,0.295111
bLoop,b,14,14,1.08624,0.40445,2.36436,3.35896,3.38062,0.644875
bLoop,b,8,8,1.93593,0.740945,1.12399,2.12883,2.25749,6.04338
bLoop,b,11,11,1.0983,0.85547,2.16727,3.17226,3.25086,2.47782
bLoop,b,17,17,0.745824,0.635275,0.941904,1.94697,2.07829,6.74454
bLoop,b,20,20,1.27593,0.295289,1.91684,2.92577,2.92098,-0.163652
bLoop,b,14,14,1.3398,0.339042,0.784833,1.77814,1.83544,3.22252
bLoop,b,11,11,1.79918,0.430336,1.55332,2.5576,2.59555,1.48365
bLoop,b,8,8,1.95115,0.36311,2.10688,3.1032,3.14625,1.38717
bLoop,b,17,17,0.602976,0.933296,2.1029,3.10196,3.27136,5.46107
bLoop,b,14,14,1.59747,0.765164,0.666225,1.67025,1.7686,5.88847
bLoop,b,20,20,0.711313,0.550381,1.93056,2.93202,2.99639,2.19534
bLoop,b,11,11,1.92567,0.389307,2.03219,3.03277,3.065,1.06272
bLoop,b,8,8,1.8241,0.637493,1.47393,2.47466,2.56397,3.60909
bLoop,b,17,17,1.32066,0.94883,1.70162,2.70055,2.80211,3.76076
bLoop,b,14,14,1.0983,0.85547,2.16727,3.16067,3.26764,3.38448
bLoop,b,20,20,0.745824,0.635275,0.941904,1.95036,2.07575,6.42923
bLoop,b,11,11,1.93593,0.740945,1.12399,2.12166,2.22512,4.87633
bLoop,b,8,8,1.95932,0.864511,1.36117,2.36187,2.47909,4.96301
bLoop,b,17,17,1.08624,0.40445,2.36436,3.36759,3.39539,0.825586
bLoop,b,14,14,1.79918,0.430336,1.55332,2.55308,2.58807,1.3706
bLoop,b,11,11,1.95115,0.36311,2.10688,3.10523,3.12877,0.75804
bLoop,b,20,20,0.602976,0.933296,2.1029,3.10195,3.29243,6.14049
bLoop,b,17,17,1.3398,0.339042,0.784833,1.78943,1.83617,2.61197
bLoop,b,14,14,1.92567,0.389307,2.03219,3.03264,3.05274,0.662849
bLoop,b,11,11,1.8241,0.637493,1.47393,2.47643,2.55005,2.97283
bLoop,b,17,17,1.59747,0.765164,0.666225,1.67315,1.76657,5.58344
bLoop,b,20,20,1.32066,0.94883,1.70162,2.70049,2.80001,3.68502
bLoop,b,14,14,1.93593,0.740945,1.12399,2.12526,2.2023,3.62507
bLoop,b,11,11,1.95932,0.864511,1.36117,2.3573,2.4373,3.39362
bLoop,b,20,20,1.08624,0.40445,2.36436,3.36623,3.35702,-0.273661
bLoop,b,17,17,1.0983,0.85547,2.16727,3.17169,3.25967,2.77398
bLoop,b,14,14,1.95115,0.36311,2.10688,3.1105,3.11189,0.0447362
bLoop,b,20,20,1.3398,0.339042,0.784833,1.79281,1.82604,1.85319
bLoop,b,17,17,1.79918,0.430336,1.55332,2.55404,2.58272,1.12313
bLoop,b,14,14,1.8241,0.637493,1.47393,2.47795,2.52065,1.72317
bLoop,b,20,20,1.59747,0.765164,0.666225,1.66289,1.75286,5.40997
bLoop,b,17,17,1.92567,0.389307,2.03219,3.03718,3.03034,-0.225426
bLoop,b,14,14,1.95932,0.864511,1.36117,2.35278,2.45017,4.13927
bLoop,b,17,17,1.93593,0.740945,1.12399,2.1264,2.20054,3.48657
bLoop,b,20,20,1.0983,0.85547,2.16727,3.16382,3.26747,3.27608
bLoop,b,17,17,1.95115,0.36311,2.10688,3.11392,3.11932,0.173539
bLoop,b,20,20,1.79918,0.430336,1.55332,2.54452,2.5627,0.714512
bLoop,b,17,17,1.8241,0.637493,1.47393,2.47503,2.52469,2.0063
bLoop,b,20,20,1.92567,0.389307,2.03219,3.02789,3.02745,-0.0146111
bLoop,b,17,17,1.95932,0.864511,1.36117,2.36899,2.43571,2.81656
bLoop,b,20,20,1.93593,0.740945,1.12399,2.12135,2.18106,2.81465
bLoop,b,20,20,1.95115,0.36311,2.10688,3.10488,3.11224,0.237054
bLoop,b,20,20,1.8241,0.637493,1.47393,2.46859,2.50022,1.28113
bLoop,b,20,20,1.95932,0.864511,1.36117,2.36549,2.41966,2.28971
thetaLoop,theta,0.5,9.40262,0.5,0.940568,1.24105,2.24501,0,-100
thetaLoop,theta,1,9.40262,1,0.940568,1.24105,2.24428,2.40368,7.10242
thetaLoop,theta,1.5,9.40262,1.5,0.940568,1.24105,2.23701,2.3689,5.89591
thetaLoop,theta,2,9.40262,2,0.940568,1.24105,2.24849,2.35731,4.83971
thetaLoop,theta,0.5,13.2171,0.5,0.321742,1.40173,2.39382,2.45584,2.59102
thetaLoop,theta,0.5,12.4191,0.5,0.960049,2.2262,0,0,0
thetaLoop,theta,1,13.2171,1,0.321742,1.40173,2.40166,2.43368,1.33309
thetaLoop,theta,0.5,6.11626,0.5,0.307687,1.17129,2.17023,2.23442,2.95763
thetaLoop,theta,1.5,13.2171,1.5,0.321742,1.40173,2.40868,2.43616,1.14057
thetaLoop,theta,2,13.2171,2,0.321742,1.40173,2.40638,2.42874,0.928897
thetaLoop,theta,1,12.4191,1,0.960049,2.2262,3.23341,3.35381,3.72343
thetaLoop,theta,0.5,14.23,0.5,0.779666,0.948257,1.94214,2.17261,11.8669
thetaLoop,theta,0.5,5.75942,0.5,0.851909,2.46537,0,0,0
thetaLoop,theta,1.5,12.4191,1.5,0.960049,2.2262,3.22728,3.30744,2.48373
thetaLoop,theta,2,12.4191,2,0.960049,2.2262,3.22565,3.29292,2.08534
thetaLoop,theta,1,6.11626,1,0.307687,1.17129,2.17794,2.23485,2.61291
thetaLoop,theta,1.5,6.11626,1.5,0.307687,1.17129,2.17116,2.25291,3.76548
thetaLoop,theta,0.5,17.7744,0.5,0.342889,0.785706,1.78063,1.87194,5.12819
thetaLoop,theta,2,6.11626,2,0.307687,1.17129,2.17724,2.28453,4.92775
thetaLoop,theta,1,14.23,1,0.779666,0.948257,1.96008,2.08108,6.17356
thetaLoop,theta,0.5,9.83745,0.5,0.292947,1.96887,2.96244,3.01833,1.88654
thetaLoop,theta,0.5,19.3235,0.5,0.849909,2.38995,0,0,0
thetaLoop,theta,1.5,14.23,1.5,0.779666,0.948257,1.9602,2.05341,4.7551
thetaLoop,theta,2,14.23,2,0.779666,0.948257,1.94824,2.03456,4.43104
thetaLoop,theta,0.5,13.1527,0.5,0.801311,1.50412,2.50475,2.6957,7.62325
thetaLoop,theta,1,5.75942,1,0.851909,2.46537,3.46837,3.54417,2.18546
thetaLoop,theta,1.5,5.75942,1.5,0.851909,2.46537,3.47051,3.55093,2.31724
thetaLoop,theta,2,5.75942,2,0.851909,2.46537,3.48135,3.55173,2.02165
thetaLoop,theta,1,17.7744,1,0.342889,0.785706,1.78462,1.83864,3.02716
thetaLoop,theta,1.5,17.7744,1.5,0.342889,0.785706,1.79454,1.83482,2.24466
thetaLoop,theta,0.5,19.4213,0.5,0.647056,1.20687,2.22108,2.37822,7.07507
thetaLoop,theta,2,17.7744,2,0.342889,0.785706,1.78444,1.83387,2.77003
thetaLoop,theta,1,9.83745,1,0.292947,1.96887,2.97512,2.98356,0.283563
thetaLoop,theta,0.5,7.42829,0.5,0.418748,1.09284,2.09223,2.1984,5.07458
thetaLoop,theta,1.5,9.83745,1.5,0.292947,1.96887,2.97087,2.99704,0.881109
thetaLoop,theta,0.5,5.71922,0.5,0.866094,0.837288,1.84861,1.98137,7.18128
thetaLoop,theta,2,9.83745,2,0.292947,1.96887,2.9743,2.98418,0.332205
